Materials Id,Formula
mp-18925,Li6CoO4
mp-774082,Li(CoO2)2
mp-771536,Li7Co5O12
mp-31531,Li8CoO6
mp-765070,Li5CoO4
mp-24850,LiCoO2
mp-1174037,Li5Co3O8
mp-1185179,Li10Co4O9
mp-1174196,Li7Co5O12
mp-1175469,Li9Co7O16
mp-1175419,Li9Co7O16
mp-1175409,Li9Co7O16
mp-1175381,Li9Co7O16
mp-853206,Li3(CoO2)4
mp-1174246,Li7Co5O12
mp-780888,Li(CoO2)4
mp-1172980,Li17(CoO4)3
mp-771191,Li5Co7O16
mp-777836,Li14Co13O28
mp-775093,Li5CoO4
mp-776979,Li9(CoO4)2
mp-775097,Li2CoO2
mp-1177487,Li47(CoO4)8
mp-1175506,Li9Co7O16
mp-769483,Li11(CoO4)2
mp-1172965,Li16(CoO4)3
mp-769791,Li4CoO3
mp-763622,Li2(CoO2)3
mp-1173960,Li3Co2O5
mp-762472,Li9Co13O28
mp-690149,Li(CoO2)8
mp-850954,Li21(CoO4)4
mp-762036,Li(CoO2)2
mp-1173883,Li2CoO3
mp-1173887,Li2CoO3
mp-997525,Li4Co15O28
mp-764999,Li2(CoO2)3
mp-769847,Li(CoO2)2
mp-762605,Li9Co13O28
mp-1173888,Li2CoO3
mp-1173881,Li2CoO3
mp-1173890,Li2CoO3
mp-769436,Li5(CoO2)8
mp-1173894,Li2CoO3
mp-1173977,Li3Co2O5
mp-769852,Li3CoO3
mp-1173880,Li2CoO3
mp-1173889,Li2CoO3
mp-705640,Li20Co21O40
mp-765047,Li(CoO2)4
mp-773128,Li10Co4O9
mp-699137,Li4(CoO2)7
mp-771219,Li(CoO2)2
mp-763697,Li(CoO2)3
mp-1173996,Li5Co3O8
mp-1173970,Li3Co2O5
mp-771197,Li4Co7O16
mp-1174003,Li5Co3O8
mp-763412,Li4Co13O28
mp-1174153,Li5Co3O8
mp-1174313,Li7Co5O12
mp-1177547,Li4Co5O12
mp-1174012,Li5Co3O8
mp-1173879,Li2CoO3
mp-1175374,Li9Co7O16
mp-771244,Li4Co13O28
mp-763684,Li8(CoO2)5
mp-868342,Li4Co5O12
mp-1174494,Li7Co5O12
mp-763322,Li4CoO4
mp-773454,Li5CoO4
mp-775446,Li3(CoO2)5
mp-1175401,Li9Co7O16
mp-1174305,Li7Co5O12
mp-1174804,Li7Co5O12
mp-1175376,Li9Co7O16
mp-771481,Li(CoO2)2
mp-705847,Li2(CoO2)3
mp-1174197,Li4Co3O7
mp-1175400,Li9Co7O16
mp-1174229,Li7Co5O12
mp-1175410,Li9Co7O16
mp-1175428,Li9Co7O16
mp-1174191,Li4Co3O7
mp-1175467,Li9Co7O16
mp-1174391,Li7Co5O12
mp-553952,Li(CoO2)2
mp-763312,Li4CoO4
mp-1175480,Li9Co7O16
mp-776148,Li20Co21O40
mp-1174228,Li4Co3O7
mp-1177481,Li4CoO4
mp-779983,Li7(CoO3)2
mp-1174233,Li4Co3O7
mp-771225,Li17(CoO4)4
mp-771226,Li9(CoO4)2
mp-772385,LiCo8O9
mp-773572,LiCo6O7
mp-1174276,Li4Co3O7
mp-1175405,Li9Co7O16
mp-776004,Li4CoO4
mp-1175418,Li9Co7O16
mp-1175415,Li9Co7O16
mp-1174239,Li4Co3O7
mp-1174179,Li4Co3O7
mp-763310,LiCo5O8
mp-781073,Li5CoO4
mp-1175466,Li9Co7O16
mp-1174128,Li5Co3O8
mp-1174291,Li4Co3O7
mp-1175392,Li9Co7O16
mp-766743,LiCo15O16
mp-1174104,Li5Co3O8
mp-1174143,Li5Co3O8
mp-1175429,Li9Co7O16
mp-1174212,Li4Co3O7
mp-1175521,Li9Co7O16
mp-1174123,Li5Co3O8
mp-1175430,Li9Co7O16
mp-1175451,Li9Co7O16
mp-1175382,Li9Co7O16
mp-1175379,Li9Co7O16
mp-1175571,Li9Co7O16
mp-1175394,Li9Co7O16
mp-1174374,Li7Co5O12
mp-1174051,Li5Co3O8
mp-1175413,Li9Co7O16
mp-1175444,Li9Co7O16
mp-853240,LiCoO2
mp-1174377,Li7Co5O12
mp-1174039,Li5Co3O8
mp-767934,Li3Co13O16
mp-764688,Li4CoO4
mp-1174177,Li5Co3O8
mp-1175384,Li9Co7O16
mp-1175447,Li9Co7O16
mp-1175380,Li9Co7O16
mp-771227,Li19(CoO4)4
mp-1174174,Li5Co3O8
mp-1175449,Li9Co7O16
mp-1174265,Li7Co5O12
mp-1174315,Li7Co5O12
mp-1174223,Li7Co5O12
mp-763702,Li(CoO2)2
mp-1178332,Li(CoO2)2
mp-1174401,Li7Co5O12
mp-38489,LiCo7O8
mp-1173963,Li5Co3O8
mp-1175488,Li9Co7O16
mp-775089,Li9(CoO4)2
mp-1174292,Li7Co5O12
mp-1174340,Li7Co5O12
mp-1174271,Li7Co5O12
mp-761816,Li3Co11O14
mp-1174366,Li7Co5O12
mp-763311,Li4CoO4
mp-868302,Li3Co13O16
mp-1176837,Li8(CoO2)5
mp-1174119,Li3Co2O5
mp-764768,Li7(CoO3)2
mp-1176858,Li8(CoO2)5
mp-1174298,Li4Co3O7
mp-853159,Li7(CoO3)2
mp-1174158,Li3Co2O5
mp-1174026,Li3Co2O5
mp-1174016,Li5Co3O8
mp-1174274,Li7Co5O12
mp-1173983,Li3Co2O5
mp-851074,Li4(CoO2)9
mp-1174116,Li5Co3O8
mp-771200,LiCo3O4
mp-1174108,Li3Co2O5
mp-997539,Li(CoO2)3
mp-1174384,Li7Co5O12
mp-1174213,Li3Co2O5
mp-1174327,Li4Co3O7
mp-1175519,Li9Co7O16
mp-1174048,Li5Co3O8
mp-1175507,Li9Co7O16
mp-1174293,Li7Co5O12
mp-1174307,Li7Co5O12
mp-773208,Li7Co5O12
mp-779940,Li4CoO4
mp-1174245,Li7Co5O12
mp-1174403,Li7Co5O12
mp-1173994,Li3Co2O5
mp-1174005,Li3Co2O5
mp-1174269,Li4Co3O7
mp-1177137,Li5(CoO3)2
mp-1175478,Li9Co7O16
mp-1175390,Li9Co7O16
mp-1174328,Li7Co5O12
mp-1174431,Li7Co5O12
mp-1174439,Li7Co5O12
mp-1175471,Li9Co7O16
mp-1173982,Li3Co2O5
mp-1175383,Li9Co7O16
mp-868388,LiCoO2
mp-1174345,Li7Co5O12
mp-1175445,Li9Co7O16
mp-1174237,Li4Co3O7
mp-850944,Li21(Co4O9)2
mp-763627,Li17(Co4O9)2
mp-1174353,Li4Co3O7
mp-1175505,Li9Co7O16
mp-1175436,Li9Co7O16
mp-1174342,Li7Co5O12
mp-1174408,Li4Co3O7
mp-763696,Li5(CoO3)2
mp-1175493,Li9Co7O16
mp-1175435,Li9Co7O16
mp-1175492,Li9Co7O16
mp-1175497,Li9Co7O16
mp-1175464,Li9Co7O16
mp-1174339,Li4Co3O7
mp-1175472,Li9Co7O16
mp-1174044,Li3Co2O5
mp-1175476,Li9Co7O16
mp-1175459,Li9Co7O16
mp-1175517,Li9Co7O16
mp-1174242,Li7Co5O12
mp-1175482,Li9Co7O16
mp-1175450,Li9Co7O16
mp-763202,Li4CoO4
mp-1175500,Li9Co7O16
mp-1175514,Li9Co7O16
mp-1174266,Li7Co5O12
mp-772003,Li5Co7O12
mp-1174033,Li3Co2O5
mp-1175416,Li9Co7O16
mp-1175515,Li9Co7O16
mp-1175440,Li9Co7O16
mp-762878,Li9Co15O28
mp-1178123,Li(CoO2)2
mp-1174257,Li4Co3O7
mp-1175491,Li9Co7O16
mp-763750,Li3(CoO2)4
mp-1174371,Li4Co3O7
mp-765519,Li5(CoO2)4
mp-1175443,Li9Co7O16
mp-1174390,Li4Co3O7
mp-1097885,LiCoO2
mp-868637,Li7(CoO3)2
mp-768062,Li13Co15O28
mp-735506,Li9Co9O17
mp-1175463,Li9Co7O16
mp-780140,Li5(CoO2)4
mp-1174331,Li4Co3O7
mp-773514,Li2CoO3
mp-1174250,Li4Co3O7
mp-25471,Li(CoO2)2
mp-1174365,Li7Co5O12
mp-763189,Li2CoO3
mp-1178078,Li13Co15O28
mp-771636,Li(CoO2)2
mp-764781,Li3(CoO2)4
mp-1174222,Li4Co3O7
mp-1175529,Li9Co7O16
mp-850160,Li7(CoO3)2
mp-868417,Li3CoO3
mp-1175396,Li9Co7O16
mp-764182,Li6(CoO2)5
mp-1222581,LiCo4O5
mp-1177890,Li3(CoO2)4
mp-1222543,LiCo2O3
mp-1177904,Li3(CoO2)4
mp-894498,LiCoO2
mp-1177024,Li6(CoO2)5
mp-1177152,Li5(CoO2)8
mp-774239,Li(CoO2)2
mp-764935,Li(CoO2)2
mp-1045647,Li(CoO2)4
mp-774134,Li2CoO2
mp-765899,LiCoO2
mp-1176084,Li9Co7O16
mp-1222978,Li(CoO2)2
mp-690530,Li2Co4O5
mp-1045644,Li3(CoO2)4
mp-1174281,Li3Co2O5
mp-1174577,Li7Co5O12
mp-1174520,Li4Co3O7
mp-1222499,LiCo3O4
mp-1173891,Li2CoO3
mp-1174225,Li5Co3O8
mp-1222334,LiCoO2
mp-1174181,Li3Co2O5
mp-1178064,Li2(CoO2)3
mp-1212378,Li3CoO6
mp-698582,Li5Mn7O16
mp-691115,Li4Mn5O12
mp-770533,Li6MnO4
mp-18988,Li2MnO3
mp-37620,LiMnO2
mp-775236,LiMnO2
mp-1097867,LiMn2O4
mp-565348,LiMnO2
mp-705804,LiMnO2
mp-1199729,LiMn2O4
mp-776365,Li9Mn21O40
mp-18767,LiMnO2
mp-769450,Li9Mn15O32
mp-1097058,LiMn2O4
mp-694851,LiMnO2
mp-1004373,LiMnO2
mp-1185524,Li95Mn16O64
mp-706714,Li9Mn15O32
mp-1003549,LiMn16O32
mp-641353,LiMn2O4
mp-19279,Li2MnO2
mp-705742,Li13Mn21O48
mp-690161,Li9Mn20O40
mp-705961,Li5Mn12O24
mp-773331,Li3MnO3
mp-1175314,Li7Mn5O12
mp-1016165,LiMn8O16
mp-698600,Li11Mn13O32
mp-764764,Li7Mn5O12
mp-770534,Li2Mn3O7
mp-699179,Li7Mn17O32
mp-765167,Li13Mn17O40
mp-771616,Li7Mn5O12
mp-767904,Li9Mn14O32
mp-1176672,LiMn3O6
mp-1100541,Li9Mn7O16
mp-763655,LiMn3O6
mp-1100536,Li9Mn7O16
mp-1100553,Li9Mn7O16
mp-767340,LiMnO2
mp-1174296,Li4Mn3O7
mp-1100549,Li9Mn7O16
mp-1100551,Li9Mn7O16
mp-1100492,Li9Mn7O16
mp-1100557,Li9Mn7O16
mp-1100556,Li9Mn7O16
mp-1174220,Li4Mn3O7
mp-1100481,Li9Mn7O16
mp-694974,Li7Mn16O32
mp-1174248,Li4Mn3O7
mp-1100540,Li9Mn7O16
mp-1177178,Li9Mn21O40
mp-1174337,Li4Mn3O7
mp-1100526,Li9Mn7O16
mp-1100581,Li9Mn7O16
mp-1175354,Li7Mn5O12
mp-1100497,Li9Mn7O16
mp-1100554,Li9Mn7O16
mp-1174244,Li4Mn3O7
mp-1100514,Li9Mn7O16
mp-1174288,Li4Mn3O7
mp-1173962,Li3Mn2O5
mp-868928,Li6Mn9O20
mp-25542,LiMnO2
mp-1100505,Li9Mn7O16
mp-1100499,Li9Mn7O16
mp-691123,Li7Mn10O24
mp-1173947,Li3Mn2O5
mp-1173952,Li3Mn2O5
mp-769440,Li7Mn8O20
mp-1175313,Li7Mn5O12
mp-1174285,Li4Mn3O7
mp-1100555,Li9Mn7O16
mp-1100523,Li9Mn7O16
mp-1174312,Li4Mn3O7
mp-1174294,Li4Mn3O7
mp-1100519,Li9Mn7O16
mp-765516,Li8Mn9O18
mp-1174308,Li4Mn3O7
mp-1175308,Li7Mn5O12
mp-1100562,Li9Mn7O16
mp-1175363,Li7Mn5O12
mp-771583,LiMn2O4
mp-1100517,Li9Mn7O16
mp-1100522,Li9Mn7O16
mp-1100552,Li9Mn7O16
mp-1175349,Li7Mn5O12
mp-1100520,Li9Mn7O16
mp-1174287,Li4Mn3O7
mp-1100558,Li9Mn7O16
mp-1174297,Li4Mn3O7
mp-1100524,Li9Mn7O16
mp-1003637,LiMn3O6
mp-761972,Li7Mn14O32
mp-1100559,Li9Mn7O16
mp-1100544,Li9Mn7O16
mp-1100545,Li9Mn7O16
mp-1100547,Li9Mn7O16
mp-1100546,Li9Mn7O16
mp-1100539,Li9Mn7O16
mp-1100516,Li9Mn7O16
mp-1100543,Li9Mn7O16
mp-1003315,LiMn4O8
mp-1100530,Li9Mn7O16
mp-1174275,Li4Mn3O7
mp-1100538,Li9Mn7O16
mp-1100534,Li9Mn7O16
mp-1100515,Li9Mn7O16
mp-1100518,Li9Mn7O16
mp-1100529,Li9Mn7O16
mp-1100537,Li9Mn7O16
mp-1174320,Li4Mn3O7
mp-1100532,Li9Mn7O16
mp-1100542,Li9Mn7O16
mp-1100531,Li9Mn7O16
mp-1232439,Li7Mn5O12
mp-1174741,Li5Mn3O8
mp-1175343,Li7Mn5O12
mp-1100535,Li9Mn7O16
mp-780711,Li4Mn3O8
mp-1175325,Li7Mn5O12
mp-705765,Li3Mn8O16
mp-1174737,Li5Mn3O8
mp-773337,Li5Mn7O12
mp-1175331,Li7Mn5O12
mp-769728,Li3Mn4O8
mp-780161,LiMnO2
mp-770608,Li3Mn3O8
mp-698705,Li4Mn13O24
mp-1175317,Li7Mn5O12
mp-1176738,LiMn7O14
mp-770260,Li8MnO6
mp-770537,LiMn2O3
mp-1100484,Li9Mn7O16
mp-769702,LiMn4O8
mp-1100482,Li9Mn7O16
mp-1100496,Li9Mn7O16
mp-1100513,Li9Mn7O16
mp-1174378,Li4Mn3O7
mp-762411,LiMn3O6
mp-1175337,Li7Mn5O12
mp-1175334,Li7Mn5O12
mp-1100580,Li9Mn7O16
mp-1100494,Li9Mn7O16
mp-1174646,Li5Mn3O8
mp-1004762,LiMn4O8
mp-1175316,Li7Mn5O12
mp-763710,Li3Mn4O8
mp-1174519,Li5Mn3O8
mp-764701,Li8Mn5O10
mp-1100483,Li9Mn7O16
mp-1100510,Li9Mn7O16
mp-775739,LiMn28O56
mp-1175332,Li7Mn5O12
mp-36240,LiMn8O16
mp-1100493,Li9Mn7O16
mp-34650,LiMn3O4
mp-1175328,Li7Mn5O12
mp-1174498,Li5Mn3O8
mp-1100487,Li9Mn7O16
mp-694894,LiMn12O24
mp-770866,LiMn5O8
mp-1174351,Li4Mn3O7
mp-1100479,Li9Mn7O16
mp-1100477,Li9Mn7O16
mp-1100533,Li9Mn7O16
mp-770710,Li3Mn7O16
mp-1175321,Li7Mn5O12
mp-1176651,LiMn6O12
mp-768056,LiMn10O20
mp-1174359,Li4Mn3O7
mp-1100485,Li9Mn7O16
mp-1100512,Li9Mn7O16
mp-1100511,Li9Mn7O16
mp-1100521,Li9Mn7O16
mp-1174554,Li5Mn3O8
mp-1195443,LiMn4O8
mp-1174348,Li4Mn3O7
mp-1100508,Li9Mn7O16
mp-1100501,Li9Mn7O16
mp-1174410,Li4Mn3O7
mp-1177832,Li3Mn28O56
mp-1100506,Li9Mn7O16
mp-762406,LiMn4O8
mp-762412,Li2Mn3O6
mp-1222484,LiMn8O16
mp-1100486,Li9Mn7O16
mp-1100488,Li9Mn7O16
mp-1100495,Li9Mn7O16
mp-762537,LiMn6O12
mp-25015,LiMn2O4
mp-1174387,Li4Mn3O7
mp-771858,LiMnO2
mp-1222562,Li3Mn8O16
mp-1002572,LiMnO2
mp-1100507,Li9Mn7O16
mp-775467,Li5MnO4
mp-780186,Li9Mn10O20
mp-762407,Li6Mn5O10
mp-1174330,Li4Mn3O7
mp-35530,LiMn4O8
mp-1174299,Li4Mn3O7
mp-706830,Li7Mn11O24
mp-769666,Li5Mn6O12
mp-1174373,Li4Mn3O7
mp-770510,Li5MnO4
mp-1175347,Li7Mn5O12
mp-772345,Li4Mn3O8
mp-1175362,Li7Mn5O12
mp-1100509,Li9Mn7O16
mp-1175326,Li7Mn5O12
mp-690435,Li7Mn11O24
mp-1174283,Li4Mn3O7
mp-771942,Li3Mn5O8
mp-1100502,Li9Mn7O16
mp-34461,Li7Mn11O24
mp-1100500,Li9Mn7O16
mp-1100491,Li9Mn7O16
mp-772021,LiMnO2
mp-1174326,Li4Mn3O7
mp-1174316,Li4Mn3O7
mp-1175323,Li7Mn5O12
mp-1175318,Li7Mn5O12
mp-761797,Li6Mn15O32
mp-1175359,Li7Mn5O12
mp-1175365,Li7Mn5O12
mp-1175335,Li7Mn5O12
mp-764763,Li7Mn4O12
mp-1100498,Li9Mn7O16
mp-1100490,Li9Mn7O16
mp-1100476,Li9Mn7O16
mp-1175344,Li7Mn5O12
mp-1100489,Li9Mn7O16
mp-1045540,Li3Mn4O8
mp-780141,Li6Mn5O12
mp-770797,LiMn2O4
mp-770530,Li14Mn2O9
mp-775531,LiMnO2
mp-1174323,Li4Mn3O7
mp-762419,Li4Mn7O12
mp-764759,Li6Mn5O12
