r_coor, energy,   site, dn,      x,      y,      z, index
 2.067, -2.032,    Li3, 1D, -0.957, -0.449,  8.035,    52
 2.149, -2.032,   none, 1D, -0.917, -0.378,  8.035,    52
 2.230, -2.018,   none, 1D, -0.877, -0.307,  8.035,    52
 2.309, -2.000,   none, 1D, -0.797, -0.307,  8.035,    52
 2.391, -1.975,   none, 1D, -0.757, -0.237,  8.035,    52
 2.472, -1.945,   none, 1D, -0.717, -0.166,  8.035,    52
 2.554, -1.912,   none, 1D, -0.676, -0.095,  8.035,    52
 2.666, -1.883,   none, 1D, -0.620, -0.112,  8.131,    52
 2.747, -1.865,   none, 1D, -0.580, -0.041,  8.131,    52
 2.829, -1.848,   none, 1D, -0.539,  0.029,  8.131,    52
 2.908, -1.839, saddle, 1D, -0.460,  0.029,  8.131,    52
 2.990, -1.841,   none, 1D, -0.420,  0.100,  8.131,    52
 3.071, -1.845,   none, 1D, -0.380,  0.171,  8.131,    52
 3.153, -1.852,   none, 1D, -0.339,  0.242,  8.131,    52
 3.232, -1.874,   none, 1D, -0.260,  0.242,  8.131,    52
 3.313, -1.901,   none, 1D, -0.220,  0.313,  8.131,    52
 3.395, -1.929,   none, 1D, -0.180,  0.383,  8.131,    52
 3.507, -1.970,   none, 1D, -0.123,  0.366,  8.227,    52
 3.589, -2.015,   none, 1D, -0.083,  0.437,  8.227,    52
 3.670, -2.056,   none, 1D, -0.043,  0.508,  8.227,    52
 3.749, -2.101,   none, 1D,  0.037,  0.508,  8.227,    52
 3.831, -2.144,   none, 1D,  0.077,  0.579,  8.227,    52
 3.912, -2.182,   none, 1D,  0.117,  0.649,  8.227,    52
 3.991, -2.214,   none, 1D,  0.197,  0.649,  8.227,    52
 4.073, -2.244,   none, 1D,  0.237,  0.720,  8.227,    52
 4.154, -2.266,   none, 1D,  0.277,  0.791,  8.227,    52
 4.267, -2.281,   none, 1D,  0.334,  0.774,  8.322,    52
 4.411, -2.285,  Li_i6, 1D,  0.397,  0.862,  8.227,    84
 4.542, -2.284,   none, 1D,  0.413,  0.774,  8.322,    84
 4.642, -2.266,   none, 1D,  0.390,  0.757,  8.418,    84
 4.768, -2.231,   none, 1D,  0.328,  0.810,  8.513,    84
 4.868, -2.186,   none, 1D,  0.305,  0.793,  8.609,    84
 4.967, -2.131,   none, 1D,  0.283,  0.776,  8.705,    84
 5.079, -2.068,   none, 1D,  0.300,  0.830,  8.800,    84
 5.178, -2.014,   none, 1D,  0.277,  0.813,  8.896,    84
 5.278, -1.958,   none, 1D,  0.254,  0.795,  8.992,    84
 5.404, -1.918,   none, 1D,  0.193,  0.849,  9.087,    84
 5.504, -1.888,   none, 1D,  2.361,  2.478,  0.000,    84
 5.630, -1.866, saddle, 1D,  2.299,  2.531,  0.096,    84
 5.730, -1.870,   none, 1D,  2.276,  2.514,  0.191,    84
 5.829, -1.882,   none, 1D,  2.253,  2.497,  0.287,    84
 5.940, -1.908,   none, 1D,  2.271,  2.551,  0.383,    84
 6.081, -1.943,   none, 1D,  2.169,  2.534,  0.478,    84
 6.192, -1.985,   none, 1D,  2.186,  2.587,  0.574,    84
 6.292, -2.023,   none, 1D,  2.163,  2.570,  0.670,    84
 6.418, -2.052,   none, 1D,  2.102,  2.624,  0.765,    84
 6.518, -2.069,    Li7, 1D,  2.079,  2.607,  0.861,    94
 6.599, -2.060,   none, 1D,  2.040,  2.677,  0.861,    94
 6.710, -2.050,   none, 1D,  2.057,  2.731,  0.957,    94
 6.791, -2.032,   none, 1D,  2.018,  2.802,  0.957,    94
 6.872, -2.009,   none, 1D,  1.979,  2.873,  0.957,    94
 6.953, -1.987,   none, 1D,  2.019,  2.943,  0.957,    94
 7.034, -1.966,   none, 1D,  1.980,  3.014,  0.957,    94
 7.115, -1.946,   none, 1D,  1.941,  3.085,  0.957,    94
 7.226, -1.930,   none, 1D,  1.959,  3.139,  1.052,    94
 7.307, -1.924,   none, 1D,  1.920,  3.209,  1.052,    94
 7.387, -1.923, saddle, 1D,  1.881,  3.280,  1.052,    94
 7.468, -1.928,   none, 1D,  1.842,  3.351,  1.052,    94
 7.549, -1.938,   none, 1D,  1.803,  3.422,  1.052,    94
 7.630, -1.953,   none, 1D,  1.764,  3.493,  1.052,    94
 7.711, -1.974,   none, 1D,  1.725,  3.563,  1.052,    94
 7.792, -1.999,   none, 1D,  1.686,  3.634,  1.052,    94
 7.872, -2.027,   none, 1D,  1.647,  3.705,  1.052,    94
 7.953, -2.058,   none, 1D,  1.608,  3.776,  1.052,    94
 8.035, -2.090,   none, 1D,  1.648,  3.847,  1.052,    94
 8.115, -2.123,   none, 1D,  1.609,  3.917,  1.052,    94
 8.246, -2.154,   none, 1D,  1.593,  4.005,  0.957,    94
 8.327, -2.186,   none, 1D,  1.554,  4.076,  0.957,    94
 8.408, -2.213,   none, 1D,  1.515,  4.147,  0.957,    94
 8.489, -2.235,   none, 1D,  1.476,  4.218,  0.957,    94
 8.620, -2.249,   none, 1D,  1.460,  4.306,  0.861,    94
 8.701, -2.259,  Li_i8, 1D,  1.500,  4.376,  0.861,   130
 8.783, -2.252,   none, 1D,  1.540,  4.447,  0.861,   130
 8.862, -2.238,   none, 1D,  1.619,  4.447,  0.861,   130
 8.943, -2.213,   none, 1D,  1.660,  4.518,  0.861,   130
 9.056, -2.187,   none, 1D,  1.716,  4.501,  0.957,   130
 9.137, -2.157,   none, 1D,  1.756,  4.572,  0.957,   130
 9.219, -2.123,   none, 1D,  1.797,  4.642,  0.957,   130
 9.300, -2.084,   none, 1D,  1.837,  4.713,  0.957,   130
 9.379, -2.049,   none, 1D,  1.916,  4.713,  0.957,   130
 9.461, -2.014,   none, 1D,  1.957,  4.784,  0.957,   130
 9.572, -1.986,   none, 1D,  1.974,  4.838,  1.052,   130
 9.651, -1.963,   none, 1D,  2.053,  4.838,  1.052,   130
 9.733, -1.947,   none, 1D,  2.094,  4.908,  1.052,   130
 9.814, -1.934,   none, 1D,  2.134,  4.979,  1.052,   130
