r_coor, energy,   site, dn,      x,      y,      z, index
10.589, -2.632,    Li4, 1D,  1.674, 10.170,  2.428,   146
10.671, -2.625,   none, 1D,  1.721, 10.170,  2.496,   146
10.741, -2.617,   none, 1D,  1.792, 10.170,  2.496,   146
10.823, -2.595,   none, 1D,  1.838, 10.170,  2.563,   146
10.894, -2.574,   none, 1D,  1.909, 10.170,  2.563,   146
10.965, -2.540,   none, 1D,  1.980, 10.170,  2.563,   146
11.047, -2.504,   none, 1D,  2.026, 10.170,  2.631,   146
11.118, -2.463,   none, 1D,  2.097, 10.170,  2.631,   146
11.200, -2.413,   none, 1D,  2.143, 10.170,  2.698,   146
11.270, -2.370,   none, 1D,  2.214, 10.170,  2.698,   146
11.341, -2.322,   none, 1D,  2.285, 10.170,  2.698,   146
11.423, -2.272,   none, 1D,  2.332, 10.170,  2.766,   146
11.494, -2.234,   none, 1D,  2.402, 10.170,  2.766,   146
11.565, -2.198,   none, 1D,  2.473, 10.170,  2.766,   146
11.635, -2.163,   none, 1D,  2.544, 10.170,  2.766,   146
11.717, -2.146,   none, 1D,  2.590, 10.170,  2.833,   146
11.788, -2.137,   none, 1D,  2.661, 10.170,  2.833,   146
11.859, -2.133, saddle, 1D,  2.732, 10.170,  2.833,   146
11.941, -2.141,   none, 1D,  2.779, 10.170,  2.901,   146
12.012, -2.164,   none, 1D,  2.849, 10.170,  2.901,   146
12.083, -2.191,   none, 1D,  2.920, 10.170,  2.901,   146
12.164, -2.220,   none, 1D,  2.967, 10.170,  2.968,   146
12.235, -2.265,   none, 1D,  3.037, 10.170,  2.968,   146
12.306, -2.308,   none, 1D,  3.108, 10.170,  2.968,   146
12.377, -2.345,   none, 1D,  3.179, 10.170,  2.968,   146
12.459, -2.382,   none, 1D,  3.226, 10.170,  3.036,   146
12.530, -2.408,   none, 1D,  3.296, 10.170,  3.036,   146
12.600, -2.416,  Li_i1, 1D,  3.367, 10.170,  3.036,   210
12.695, -2.396,   none, 1D,  3.367, 10.075,  3.036,   210
12.812, -2.338,   none, 1D,  3.438,  9.981,  3.036,   210
12.931, -2.275,   none, 1D,  3.462,  9.887,  2.968,   210
13.081, -2.212,   none, 1D,  3.557,  9.793,  2.901,   210
13.198, -2.166,   none, 1D,  3.628,  9.699,  2.901,   210
13.317, -2.158, saddle, 1D,  3.652,  9.605,  2.833,   210
13.467, -2.181,   none, 1D,  3.747,  9.510,  2.766,   210
13.616, -2.229,   none, 1D,  3.843,  9.416,  2.698,   210
13.766, -2.296,   none, 1D,  3.938,  9.322,  2.631,   210
13.916, -2.374,   none, 1D,  4.033,  9.228,  2.563,   210
14.066, -2.451,   none, 1D,  4.128,  9.134,  2.496,   210
14.216, -2.513,   none, 1D, -0.874,  9.040,  2.428,   210
14.310, -2.551,   none, 1D, -0.874,  8.945,  2.428,   210
14.404, -2.569,    Li3, 1D, -0.874,  8.851,  2.428,     2
14.498, -2.551,   none, 1D, -0.874,  8.945,  2.428,     2
14.593, -2.513,   none, 1D, -0.874,  9.040,  2.428,     2
14.742, -2.451,   none, 1D, -0.779,  9.134,  2.361,     2
14.892, -2.374,   none, 1D, -0.684,  9.228,  2.294,     2
15.042, -2.296,   none, 1D, -0.589,  9.322,  2.226,     2
15.192, -2.229,   none, 1D, -0.494,  9.416,  2.159,     2
15.342, -2.181,   none, 1D, -0.399,  9.510,  2.091,     2
15.492, -2.158, saddle, 1D, -0.304,  9.605,  2.024,     2
15.610, -2.166,   none, 1D, -0.280,  9.699,  1.956,     2
15.728, -2.212,   none, 1D, -0.209,  9.793,  1.956,     2
15.878, -2.275,   none, 1D, -0.114,  9.887,  1.889,     2
15.996, -2.338,   none, 1D, -0.089,  9.981,  1.821,     2
16.114, -2.396,   none, 1D, -0.019, 10.075,  1.821,     2
16.208, -2.416,  Li_i1, 1D, -0.019, 10.170,  1.821,    68
16.279, -2.408,   none, 1D,  0.052, 10.170,  1.821,    68
16.350, -2.382,   none, 1D,  0.123, 10.170,  1.821,    68
16.432, -2.345,   none, 1D,  0.169, 10.170,  1.889,    68
16.502, -2.308,   none, 1D,  0.240, 10.170,  1.889,    68
16.573, -2.265,   none, 1D,  0.311, 10.170,  1.889,    68
16.644, -2.220,   none, 1D,  0.382, 10.170,  1.889,    68
16.726, -2.191,   none, 1D,  0.428, 10.170,  1.956,    68
16.797, -2.164,   none, 1D,  0.499, 10.170,  1.956,    68
16.867, -2.141,   none, 1D,  0.570, 10.170,  1.956,    68
16.949, -2.133, saddle, 1D,  0.616, 10.170,  2.024,    68
17.020, -2.137,   none, 1D,  0.687, 10.170,  2.024,    68
17.091, -2.146,   none, 1D,  0.758, 10.170,  2.024,    68
17.173, -2.163,   none, 1D,  0.805, 10.170,  2.091,    68
17.244, -2.198,   none, 1D,  0.875, 10.170,  2.091,    68
17.314, -2.234,   none, 1D,  0.946, 10.170,  2.091,    68
17.385, -2.272,   none, 1D,  1.017, 10.170,  2.091,    68
17.467, -2.322,   none, 1D,  1.063, 10.170,  2.159,    68
17.538, -2.370,   none, 1D,  1.134, 10.170,  2.159,    68
17.609, -2.413,   none, 1D,  1.205, 10.170,  2.159,    68
17.691, -2.463,   none, 1D,  1.252, 10.170,  2.226,    68
17.762, -2.504,   none, 1D,  1.322, 10.170,  2.226,    68
17.843, -2.540,   none, 1D,  1.369, 10.170,  2.294,    68
17.914, -2.574,   none, 1D,  1.440, 10.170,  2.294,    68
17.985, -2.595,   none, 1D,  1.510, 10.170,  2.294,    68
18.067, -2.617,   none, 1D,  1.557, 10.170,  2.361,    68
18.138, -2.625,   none, 1D,  1.628, 10.170,  2.361,    68
20.003, -2.416,  Li_i1, 2D,  3.367, 10.170,  3.036,   214
20.075, -2.409,   none, 2D,  3.343, 10.170,  3.103,   214
20.157, -2.378,   none, 2D,  3.389, 10.170,  3.170,   214
20.229, -2.340,   none, 2D,  3.365, 10.170,  3.238,   214
20.300, -2.289,   none, 2D,  3.341, 10.170,  3.305,   214
20.382, -2.233,   none, 2D,  3.387, 10.170,  3.373,   214
20.454, -2.184,   none, 2D,  3.363, 10.170,  3.440,   214
20.526, -2.131,   none, 2D,  3.339, 10.170,  3.508,   214
20.608, -2.088,   none, 2D,  3.385, 10.170,  3.575,   214
20.679, -2.056,   none, 2D,  3.361, 10.170,  3.643,   214
20.751, -2.026,   none, 2D,  3.337, 10.170,  3.710,   214
20.833, -2.015,   none, 2D,  3.383, 10.170,  3.778,   214
20.905, -2.013, saddle, 2D,  3.359, 10.170,  3.845,   214
20.976, -2.015,   none, 2D,  3.335, 10.170,  3.912,   214
21.058, -2.040,   none, 2D,  3.381, 10.170,  3.980,   214
21.130, -2.066,   none, 2D,  3.357, 10.170,  4.047,   214
21.212, -2.098,   none, 2D,  3.403, 10.170,  4.115,   214
21.284, -2.143,   none, 2D,  3.379, 10.170,  4.182,   214
21.355, -2.186,   none, 2D,  3.355, 10.170,  4.250,   214
21.437, -2.230,   none, 2D,  3.401, 10.170,  4.317,   214
21.509, -2.278,   none, 2D,  3.377, 10.170,  4.385,   214
21.581, -2.319,   none, 2D,  3.353, 10.170,  4.452,   214
21.663, -2.356,   none, 2D,  3.399, 10.170,  4.520,   214
21.734, -2.392,   none, 2D,  3.375, 10.170,  4.587,   214
21.806, -2.419,   none, 2D,  3.351, 10.170,  4.655,   214
21.878, -2.437,   none, 2D,  3.326, 10.170,  4.722,   214
21.960, -2.451,   none, 2D, -1.724, 10.170,  4.789,   214
22.031, -2.455,    Li5, 2D,  0.000, 10.170,  0.000,     0
22.103, -2.451,   none, 2D, -0.024, 10.170,  0.067,     0
22.185, -2.437,   none, 2D,  0.022, 10.170,  0.135,     0
22.257, -2.419,   none, 2D, -0.002, 10.170,  0.202,     0
22.328, -2.392,   none, 2D, -0.026, 10.170,  0.270,     0
22.400, -2.356,   none, 2D, -0.051, 10.170,  0.337,     0
22.482, -2.319,   none, 2D, -0.004, 10.170,  0.405,     0
22.554, -2.278,   none, 2D, -0.028, 10.170,  0.472,     0
22.625, -2.230,   none, 2D, -0.053, 10.170,  0.540,     0
22.707, -2.186,   none, 2D, -0.006, 10.170,  0.607,     0
22.779, -2.143,   none, 2D, -0.030, 10.170,  0.675,     0
22.851, -2.098,   none, 2D, -0.055, 10.170,  0.742,     0
22.933, -2.066,   none, 2D, -0.008, 10.170,  0.809,     0
23.004, -2.040,   none, 2D, -0.033, 10.170,  0.877,     0
23.086, -2.015,   none, 2D,  0.014, 10.170,  0.944,     0
23.158, -2.013, saddle, 2D, -0.010, 10.170,  1.012,     0
23.230, -2.015,   none, 2D, -0.035, 10.170,  1.079,     0
23.312, -2.026,   none, 2D,  0.012, 10.170,  1.147,     0
23.383, -2.056,   none, 2D, -0.012, 10.170,  1.214,     0
23.455, -2.088,   none, 2D, -0.037, 10.170,  1.282,     0
23.537, -2.131,   none, 2D,  0.010, 10.170,  1.349,     0
23.609, -2.184,   none, 2D, -0.014, 10.170,  1.417,     0
23.680, -2.233,   none, 2D, -0.039, 10.170,  1.484,     0
23.762, -2.289,   none, 2D,  0.008, 10.170,  1.552,     0
23.834, -2.340,   none, 2D, -0.017, 10.170,  1.619,     0
23.906, -2.378,   none, 2D, -0.041, 10.170,  1.686,     0
23.988, -2.409,   none, 2D,  0.006, 10.170,  1.754,     0
32.904, -1.425,  Li_i2, 3D,  3.252,  1.507,  2.766,   198
32.974, -1.424,   none, 3D,  3.323,  1.507,  2.766,   198
33.092, -1.397,   none, 3D,  3.393,  1.601,  2.766,   198
33.210, -1.361,   none, 3D,  3.464,  1.695,  2.766,   198
33.328, -1.332, saddle, 3D,  3.535,  1.789,  2.766,   198
33.478, -1.337,   none, 3D,  3.630,  1.883,  2.698,   198
33.596, -1.386,   none, 3D,  3.701,  1.977,  2.698,   198
33.745, -1.476,   none, 3D,  3.796,  2.072,  2.631,   198
33.863, -1.607,   none, 3D,  3.867,  2.166,  2.631,   198
34.013, -1.778,   none, 3D,  3.962,  2.260,  2.563,   198
34.163, -1.959,   none, 3D,  4.057,  2.354,  2.496,   198
34.313, -2.130,   none, 3D,  4.152,  2.448,  2.428,   198
34.431, -2.283,   none, 3D, -0.874,  2.542,  2.428,   198
34.525, -2.397,   none, 3D, -0.874,  2.637,  2.428,   198
34.619, -2.479,   none, 3D, -0.874,  2.731,  2.428,   198
34.713, -2.533,   none, 3D, -0.874,  2.825,  2.428,   198
34.807, -2.559,    Li1, 3D, -0.874,  2.919,  2.428,     6
34.901, -2.533,   none, 3D, -0.874,  2.825,  2.428,     6
34.996, -2.479,   none, 3D, -0.874,  2.731,  2.428,     6
35.090, -2.397,   none, 3D, -0.874,  2.637,  2.428,     6
35.184, -2.283,   none, 3D, -0.874,  2.542,  2.428,     6
35.302, -2.130,   none, 3D, -0.804,  2.448,  2.428,     6
35.452, -1.959,   none, 3D, -0.708,  2.354,  2.361,     6
35.601, -1.778,   none, 3D, -0.613,  2.260,  2.294,     6
35.751, -1.607,   none, 3D, -0.518,  2.166,  2.226,     6
35.869, -1.476,   none, 3D, -0.448,  2.072,  2.226,     6
36.019, -1.386,   none, 3D, -0.352,  1.977,  2.159,     6
36.137, -1.337,   none, 3D, -0.282,  1.883,  2.159,     6
36.287, -1.332, saddle, 3D, -0.187,  1.789,  2.091,     6
36.404, -1.361,   none, 3D, -0.116,  1.695,  2.091,     6
36.522, -1.397,   none, 3D, -0.045,  1.601,  2.091,     6
36.640, -1.424,   none, 3D,  0.026,  1.507,  2.091,     6
36.711, -1.425,  Li_i2, 3D,  0.097,  1.507,  2.091,    22
36.782, -1.422,   none, 3D,  0.167,  1.507,  2.091,    22
36.852, -1.419, saddle, 3D,  0.238,  1.507,  2.091,    22
36.977, -1.423,   none, 3D,  0.285,  1.412,  2.159,    22
37.048, -1.446,   none, 3D,  0.356,  1.412,  2.159,    22
37.119, -1.475,   none, 3D,  0.426,  1.412,  2.159,    22
37.190, -1.510,   none, 3D,  0.497,  1.412,  2.159,    22
37.272, -1.555,   none, 3D,  0.544,  1.412,  2.226,    22
37.342, -1.624,   none, 3D,  0.614,  1.412,  2.226,    22
37.413, -1.696,   none, 3D,  0.685,  1.412,  2.226,    22
37.484, -1.769,   none, 3D,  0.756,  1.412,  2.226,    22
37.566, -1.851,   none, 3D,  0.803,  1.412,  2.294,    22
37.637, -1.942,   none, 3D,  0.873,  1.412,  2.294,    22
37.707, -2.028,   none, 3D,  0.944,  1.412,  2.294,    22
37.778, -2.108,   none, 3D,  1.015,  1.412,  2.294,    22
37.860, -2.194,   none, 3D,  1.061,  1.412,  2.361,    22
37.931, -2.271,   none, 3D,  1.132,  1.412,  2.361,    22
38.002, -2.338,   none, 3D,  1.203,  1.412,  2.361,    22
38.084, -2.397,   none, 3D,  1.249,  1.412,  2.428,    22
38.154, -2.451,   none, 3D,  1.320,  1.412,  2.428,    22
38.225, -2.494,   none, 3D,  1.391,  1.412,  2.428,    22
38.343, -2.527,   none, 3D,  1.462,  1.318,  2.428,    22
38.414, -2.550,   none, 3D,  1.533,  1.318,  2.428,    22
38.485, -2.564,   none, 3D,  1.603,  1.318,  2.428,    22
38.555, -2.569,    Li3, 3D,  1.674,  1.318,  2.428,   190
38.626, -2.564,   none, 3D,  1.745,  1.318,  2.428,   190
38.697, -2.550,   none, 3D,  1.816,  1.318,  2.428,   190
38.768, -2.527,   none, 3D,  1.887,  1.318,  2.428,   190
38.886, -2.494,   none, 3D,  1.957,  1.412,  2.428,   190
38.956, -2.451,   none, 3D,  2.028,  1.412,  2.428,   190
39.027, -2.397,   none, 3D,  2.099,  1.412,  2.428,   190
39.109, -2.338,   none, 3D,  2.146,  1.412,  2.496,   190
39.180, -2.271,   none, 3D,  2.216,  1.412,  2.496,   190
39.251, -2.194,   none, 3D,  2.287,  1.412,  2.496,   190
39.333, -2.108,   none, 3D,  2.334,  1.412,  2.563,   190
39.403, -2.028,   none, 3D,  2.404,  1.412,  2.563,   190
39.474, -1.942,   none, 3D,  2.475,  1.412,  2.563,   190
39.545, -1.851,   none, 3D,  2.546,  1.412,  2.563,   190
39.627, -1.769,   none, 3D,  2.593,  1.412,  2.631,   190
39.698, -1.696,   none, 3D,  2.663,  1.412,  2.631,   190
39.769, -1.624,   none, 3D,  2.734,  1.412,  2.631,   190
39.839, -1.555,   none, 3D,  2.805,  1.412,  2.631,   190
39.921, -1.510,   none, 3D,  2.851,  1.412,  2.698,   190
39.992, -1.475,   none, 3D,  2.922,  1.412,  2.698,   190
40.063, -1.446,   none, 3D,  2.993,  1.412,  2.698,   190
40.134, -1.423,   none, 3D,  3.064,  1.412,  2.698,   190
40.259, -1.419, saddle, 3D,  3.110,  1.507,  2.766,   190
40.329, -1.422,   none, 3D,  3.181,  1.507,  2.766,   190
50.370, -2.569,    Li3, 3D, -0.874, 11.488,  2.428,    12
50.465, -2.568,   none, 3D, -0.874, 11.582,  2.428,    12
50.559, -2.547,   none, 3D, -0.874, 11.676,  2.428,    12
50.653, -2.508,   none, 3D, -0.874, 11.770,  2.428,    12
50.747, -2.448,   none, 3D, -0.874, 11.864,  2.428,    12
50.841, -2.366,   none, 3D, -0.874, 11.959,  2.428,    12
50.935, -2.261,   none, 3D, -0.874, 12.053,  2.428,    12
51.085, -2.127,   none, 3D, -0.779, 12.147,  2.361,    12
51.203, -1.974,   none, 3D, -0.708, 12.241,  2.361,    12
51.353, -1.817,   none, 3D, -0.613, 12.335,  2.294,    12
51.503, -1.668,   none, 3D, -0.518, 12.429,  2.226,    12
51.653, -1.533,   none, 3D, -0.423, 12.524,  2.159,    12
51.770, -1.441,   none, 3D, -0.352, 12.618,  2.159,    12
51.920, -1.371,   none, 3D, -0.257, 12.712,  2.091,    12
52.038, -1.347,   none, 3D, -0.187, 12.806,  2.091,    12
52.132, -1.340, saddle, 3D, -0.187, 12.900,  2.091,    12
52.250, -1.345,   none, 3D, -0.116, 12.994,  2.091,    12
52.368, -1.354,   none, 3D, -0.091, 13.089,  2.024,    12
52.487, -1.354,   none, 3D, -0.116, 13.183,  2.091,    12
52.605, -1.356,   none, 3D, -0.187, 13.277,  2.091,    12
52.699, -1.364,   none, 3D, -0.187, 13.371,  2.091,    12
52.817, -1.387,   none, 3D, -0.257, 13.465,  2.091,    12
52.966, -1.465,   none, 3D, -0.352, 13.559,  2.159,    12
53.116, -1.565,   none, 3D, -0.448, 13.654,  2.226,    12
53.234, -1.703,   none, 3D, -0.518, 13.748,  2.226,    12
53.384, -1.863,   none, 3D, -0.613, 13.842,  2.294,    12
53.534, -2.025,   none, 3D, -0.708, 13.936,  2.361,    12
53.684, -2.172,   none, 3D, -0.804, 14.030,  2.428,    12
53.801, -2.296,   none, 3D, -0.874, 14.124,  2.428,    12
53.896, -2.385,   none, 3D, -0.874, 14.219,  2.428,    12
53.990, -2.448,   none, 3D, -0.874, 14.313,  2.428,    12
54.084, -2.488,   none, 3D, -0.874, 14.407,  2.428,    12
