r_coor, energy,   site, dn,      x,      y,      z, index
 4.006, -1.910,  Li_i6, 1D,  3.853,  4.954,  7.386,   120
 4.121, -1.907,   none, 1D,  3.932,  4.954,  7.302,   120
 4.268, -1.905,   none, 1D,  4.011,  5.045,  7.218,   120
 4.383, -1.899,   none, 1D,  4.089,  5.045,  7.134,   120
 4.498, -1.888,   none, 1D,  4.168,  5.045,  7.050,   120
 4.645, -1.884, saddle, 1D,  4.247,  5.137,  6.966,   120
 4.760, -1.886,   none, 1D,  4.325,  5.137,  6.882,   120
 4.875, -1.892,   none, 1D,  4.404,  5.137,  6.798,   120
 4.959, -1.902,   none, 1D,  4.405,  5.137,  6.714,   120
 5.074, -1.916,   none, 1D,  4.483,  5.137,  6.631,   120
 5.221, -1.942,   none, 1D,  4.562,  5.229,  6.547,   120
 5.336, -1.965,   none, 1D,  4.641,  5.229,  6.463,   120
 5.483, -1.981,   none, 1D,  4.719,  5.321,  6.379,   120
 5.598, -1.996,   none, 1D,  4.798,  5.321,  6.295,   120
 5.745, -1.998,   none, 1D,  4.877,  5.412,  6.211,   120
 5.866, -1.999,   none, 1D,  4.955,  5.504,  6.211,   120
 5.986, -2.000,   none, 1D,  5.033,  5.596,  6.211,   120
 6.133, -2.006,   none, 1D,  5.111,  5.688,  6.127,   120
 6.254, -2.015,   none, 1D,  5.189,  5.779,  6.127,   120
 6.374, -2.024,   none, 1D,  5.267,  5.871,  6.127,   120
 6.521, -2.036,   none, 1D,  5.346,  5.963,  6.043,   120
 6.642, -2.047,   none, 1D,  5.424,  6.054,  6.043,   120
 6.789, -2.054,   none, 1D,  5.503,  6.146,  5.959,   120
 6.909, -2.059,   none, 1D,  5.581,  6.238,  5.959,   120
 7.034, -2.061,   none, 1D,  5.582,  6.330,  5.875,   120
 7.158, -2.065,   none, 1D,  5.582,  6.421,  5.791,   120
 7.305, -2.072,   none, 1D,  5.505,  6.513,  5.707,   120
 7.429, -2.080,   none, 1D,  5.505,  0.000,  5.623,   120
 7.513, -2.085,   none, 1D,  5.506,  0.000,  5.539,   120
 7.597, -2.088,  Li_i9, 1D,  5.506,  0.000,  5.455,   115
 7.681, -2.085,   none, 1D,  5.506,  0.000,  5.539,   115
 7.765, -2.080,   none, 1D,  5.505,  0.000,  5.623,   115
 7.889, -2.072,   none, 1D,  5.505,  0.092,  5.707,   115
 8.036, -2.065,   none, 1D,  5.582,  0.183,  5.791,   115
 8.160, -2.061,   none, 1D,  5.582,  0.275,  5.875,   115
 8.284, -2.059,   none, 1D,  5.581,  0.367,  5.959,   115
 8.405, -2.054,   none, 1D,  5.503,  0.459,  5.959,   115
 8.552, -2.047,   none, 1D,  5.424,  0.550,  6.043,   115
 8.672, -2.036,   none, 1D,  5.346,  0.642,  6.043,   115
 8.819, -2.024,   none, 1D,  5.267,  0.734,  6.127,   115
 8.940, -2.015,   none, 1D,  5.189,  0.826,  6.127,   115
 9.060, -2.006,   none, 1D,  5.111,  0.917,  6.127,   115
 9.207, -2.000,   none, 1D,  5.033,  1.009,  6.211,   115
 9.328, -1.999,   none, 1D,  4.955,  1.101,  6.211,   115
 9.448, -1.998,   none, 1D,  4.877,  1.193,  6.211,   115
 9.596, -1.996,   none, 1D,  4.798,  1.284,  6.295,   115
 9.711, -1.981,   none, 1D,  4.719,  1.284,  6.379,   115
 9.858, -1.965,   none, 1D,  4.641,  1.376,  6.463,   115
 9.973, -1.942,   none, 1D,  4.562,  1.376,  6.547,   115
10.120, -1.916,   none, 1D,  4.483,  1.468,  6.631,   115
10.235, -1.902,   none, 1D,  4.405,  1.468,  6.714,   115
10.319, -1.892,   none, 1D,  4.404,  1.468,  6.798,   115
10.434, -1.886,   none, 1D,  4.325,  1.468,  6.882,   115
10.549, -1.884, saddle, 1D,  4.247,  1.468,  6.966,   115
10.696, -1.888,   none, 1D,  4.168,  1.559,  7.050,   115
10.811, -1.899,   none, 1D,  4.089,  1.559,  7.134,   115
10.926, -1.905,   none, 1D,  4.011,  1.559,  7.218,   115
11.073, -1.907,   none, 1D,  3.932,  1.651,  7.302,   115
11.188, -1.910,  Li_i6, 1D,  3.853,  1.651,  7.386,   101
11.335, -1.905,   none, 1D,  3.775,  1.743,  7.470,   101
11.419, -1.902,   none, 1D,  3.774,  1.743,  7.554,   101
11.544, -1.897,   none, 1D,  3.774,  1.835,  7.638,   101
11.691, -1.895, saddle, 1D,  3.695,  1.926,  7.722,   101
11.815, -1.897,   none, 1D,  3.694,  2.018,  7.806,   101
11.962, -1.902,   none, 1D,  3.616,  2.110,  7.889,   101
12.087, -1.908,   none, 1D,  3.615,  2.202,  7.973,   101
12.207, -1.910,  Li_i6, 1D,  3.537,  2.293,  7.973,   116
12.321, -1.909,   none, 1D,  3.670,  2.293,  0.000,   116
12.468, -1.907,   none, 1D,  3.693,  2.202,  7.973,   116
12.615, -1.904,   none, 1D,  3.826,  2.293,  0.000,   116
12.693, -1.899,   none, 1D,  3.904,  2.293,  0.000,   116
12.813, -1.889,   none, 1D,  3.982,  2.385,  0.000,   116
12.960, -1.881,   none, 1D,  4.060,  2.477,  0.084,   116
13.080, -1.873,   none, 1D,  4.138,  2.569,  0.084,   116
13.201, -1.867,   none, 1D,  4.216,  2.660,  0.084,   116
13.347, -1.863, saddle, 1D,  4.293,  2.752,  0.168,   116
13.468, -1.868,   none, 1D,  4.371,  2.844,  0.168,   116
13.588, -1.877,   none, 1D,  4.449,  2.936,  0.168,   116
13.709, -1.890,   none, 1D,  4.527,  3.027,  0.168,   116
13.829, -1.904,   none, 1D,  4.606,  3.119,  0.168,   116
13.950, -1.919,   none, 1D,  4.684,  3.211,  0.168,   116
14.070, -1.928,   none, 1D,  4.762,  3.302,  0.168,   116
14.148, -1.930,    Li9, 1D,  4.840,  3.302,  0.168,   119
14.226, -1.928,   none, 1D,  4.762,  3.302,  0.168,   119
14.347, -1.919,   none, 1D,  4.684,  3.394,  0.168,   119
14.467, -1.904,   none, 1D,  4.606,  3.486,  0.168,   119
14.588, -1.890,   none, 1D,  4.527,  3.578,  0.168,   119
14.708, -1.877,   none, 1D,  4.449,  3.669,  0.168,   119
14.829, -1.868,   none, 1D,  4.371,  3.761,  0.168,   119
14.949, -1.863, saddle, 1D,  4.293,  3.853,  0.168,   119
15.096, -1.867,   none, 1D,  4.216,  3.945,  0.084,   119
