r_coor, energy,   site, dn,      x,      y,      z, index
 4.867, -1.991, Li_i23, 1D,  4.242,  7.205,  7.720,   228
 4.945, -1.977,   none, 1D,  4.321,  7.205,  7.720,   228
 5.058, -1.949,   none, 1D,  4.399,  7.286,  7.720,   228
 5.165, -1.910,   none, 1D,  4.466,  7.280,  7.638,   228
 5.278, -1.888,   none, 1D,  4.545,  7.361,  7.638,   228
 5.391, -1.868,   none, 1D,  4.624,  7.443,  7.638,   228
 5.504, -1.850, saddle, 1D,  4.702,  7.524,  7.638,   228
 5.634, -1.857,   none, 1D,  4.769,  7.599,  7.556,   228
 5.747, -1.879,   none, 1D,  4.848,  7.680,  7.556,   228
 5.877, -1.906,   none, 1D,  4.915,  7.755,  7.473,   228
 5.990, -1.959,   none, 1D,  4.994,  7.836,  7.473,   228
 6.120, -2.005,   none, 1D,  5.061,  7.911,  7.391,   228
 6.233, -2.070,   none, 1D,  5.139,  7.992,  7.391,   228
 6.346, -2.119,   none, 1D,  5.218,  8.074,  7.391,   228
 6.476, -2.169,   none, 1D,  5.285,  8.148,  7.309,   228
 6.554, -2.203,   none, 1D,  5.364,  8.148,  7.309,   228
 6.633, -2.229,   none, 1D,  5.442,  8.148,  7.309,   228
 6.711, -2.246,   none, 1D,  5.521,  8.148,  7.309,   228
 6.790, -2.255,   none, 1D,  5.599,  8.148,  7.309,   228
 6.868, -2.257,  Li_i5, 1D,  5.678,  8.148,  7.309,   336
 6.947, -2.251,   none, 1D,  5.756,  8.148,  7.309,   336
 7.026, -2.237,   none, 1D,  5.835,  8.148,  7.309,   336
 7.104, -2.216,   none, 1D,  5.913,  8.148,  7.309,   336
 7.183, -2.186,   none, 1D,  5.992,  8.148,  7.309,   336
 7.296, -2.137,   none, 1D,  6.070,  8.067,  7.309,   336
 7.439, -2.086,   none, 1D,  6.160,  7.992,  7.391,   336
 7.552, -2.019,   none, 1D,  6.239,  7.911,  7.391,   336
 7.695, -1.968,   none, 1D,  6.329,  7.836,  7.473,   336
 7.837, -1.914,   none, 1D,  6.419,  7.761,  7.556,   336
 7.950, -1.889,   none, 1D,  6.497,  7.680,  7.556,   336
 8.093, -1.867, saddle, 1D,  6.587,  7.605,  7.638,   336
 8.206, -1.877,   none, 1D,  6.666,  7.524,  7.638,   336
 8.319, -1.888,   none, 1D,  1.090,  7.443,  7.638,   336
 8.462, -1.918,   none, 1D,  1.180,  7.368,  7.720,   336
 8.575, -1.946,   none, 1D,  1.258,  7.286,  7.720,   336
 8.654, -1.968,   none, 1D,  1.336,  7.286,  7.720,   336
 8.732, -1.975,  Li_i6, 1D,  1.415,  7.286,  7.720,    60
 8.811, -1.967,   none, 1D,  1.494,  7.286,  7.720,    60
 8.924, -1.946,   none, 1D,  1.572,  7.368,  7.720,    60
 9.003, -1.918,   none, 1D,  1.651,  7.368,  7.720,    60
 9.132, -1.898,   none, 1D,  1.718,  7.443,  7.638,    60
 9.246, -1.890,   none, 1D,  1.796,  7.524,  7.638,    60
 9.359, -1.881, saddle, 1D,  1.875,  7.605,  7.638,    60
 9.488, -1.894,   none, 1D,  1.942,  7.680,  7.556,    60
 9.602, -1.920,   none, 1D,  2.021,  7.761,  7.556,    60
 9.731, -1.952,   none, 1D,  2.088,  7.836,  7.473,    60
 9.845, -2.004,   none, 1D,  2.167,  7.918,  7.473,    60
 9.974, -2.051,   none, 1D,  2.234,  7.992,  7.391,    60
10.087, -2.108,   none, 1D,  2.312,  8.074,  7.391,    60
10.166, -2.150,   none, 1D,  2.391,  8.074,  7.391,    60
10.296, -2.186,   none, 1D,  2.458,  8.148,  7.309,    60
10.374, -2.217,   none, 1D,  2.537,  8.148,  7.309,    60
10.453, -2.240,   none, 1D,  2.615,  8.148,  7.309,    60
10.531, -2.256,   none, 1D,  2.694,  8.148,  7.309,    60
10.644, -2.264,   none, 1D,  2.772,  8.067,  7.309,    60
10.723, -2.266, Li_i10, 1D,  2.851,  8.067,  7.309,   164
10.801, -2.260,   none, 1D,  2.929,  8.067,  7.309,   164
10.880, -2.245,   none, 1D,  3.008,  8.067,  7.309,   164
10.993, -2.223,   none, 1D,  3.086,  8.148,  7.309,   164
11.106, -2.190,   none, 1D,  3.165,  8.067,  7.309,   164
11.249, -2.138,   none, 1D,  3.255,  7.992,  7.391,   164
11.362, -2.084,   none, 1D,  3.333,  7.911,  7.391,   164
11.505, -2.018,   none, 1D,  3.423,  7.836,  7.473,   164
11.618, -1.967,   none, 1D,  3.501,  7.755,  7.473,   164
11.761, -1.918,   none, 1D,  3.591,  7.680,  7.556,   164
11.874, -1.893,   none, 1D,  3.670,  7.599,  7.556,   164
12.017, -1.875, saddle, 1D,  3.760,  7.524,  7.638,   164
12.130, -1.889,   none, 1D,  3.838,  7.443,  7.638,   164
12.243, -1.904,   none, 1D,  3.917,  7.361,  7.638,   164
12.386, -1.933,   none, 1D,  4.007,  7.286,  7.720,   164
12.464, -1.965,   none, 1D,  4.085,  7.286,  7.720,   164
12.577, -1.986,   none, 1D,  4.164,  7.205,  7.720,   164
15.290, -1.973, Li_i14, 2D,  2.825,  4.846,  7.720,   110
15.371, -1.963,   none, 2D,  2.824,  4.765,  7.720,   110
15.453, -1.944,   none, 2D,  2.824,  4.683,  7.720,   110
15.534, -1.918,   none, 2D,  2.824,  4.602,  7.720,   110
15.615, -1.890,   none, 2D,  2.824,  4.521,  7.720,   110
15.736, -1.865, saddle, 2D,  2.812,  4.433,  7.638,   110
15.817, -1.873,   none, 2D,  2.812,  4.351,  7.638,   110
15.899, -1.886,   none, 2D,  2.812,  4.270,  7.638,   110
16.020, -1.903,   none, 2D,  2.800,  4.182,  7.556,   110
16.101, -1.956,   none, 2D,  2.800,  4.101,  7.556,   110
16.182, -2.007,   none, 2D,  2.800,  4.019,  7.556,   110
16.320, -2.063,   none, 2D,  2.867,  3.932,  7.473,   110
16.433, -2.134,   none, 2D,  2.788,  3.850,  7.473,   110
16.514, -2.197,   none, 2D,  2.788,  3.769,  7.473,   110
16.652, -2.256,   none, 2D,  2.855,  3.681,  7.391,   110
16.733, -2.314,   none, 2D,  2.855,  3.600,  7.391,   110
16.847, -2.359,   none, 2D,  2.776,  3.518,  7.391,   110
16.928, -2.392,   none, 2D,  2.776,  3.437,  7.391,   110
17.009, -2.414,   none, 2D,  2.776,  3.356,  7.391,   110
17.091, -2.425,   none, 2D,  2.776,  3.274,  7.391,   110
17.172, -2.427,    Li4, 2D,  2.776,  3.193,  7.391,    43
17.250, -2.420,   none, 2D,  2.697,  3.193,  7.391,    43
17.329, -2.402,   none, 2D,  2.618,  3.193,  7.391,    43
17.408, -2.376,   none, 2D,  2.540,  3.193,  7.391,    43
17.486, -2.339,   none, 2D,  2.461,  3.193,  7.391,    43
17.565, -2.291,   none, 2D,  2.383,  3.193,  7.391,    43
17.678, -2.227,   none, 2D,  2.304,  3.112,  7.391,    43
17.808, -2.170,   none, 2D,  2.237,  3.037,  7.473,    43
17.921, -2.101,   none, 2D,  2.158,  2.955,  7.473,    43
18.050, -2.048,   none, 2D,  2.091,  2.881,  7.556,    43
18.164, -1.999,   none, 2D,  2.013,  2.799,  7.556,    43
18.293, -1.959,   none, 2D,  1.946,  2.724,  7.638,    43
18.372, -1.949,   none, 2D,  1.867,  2.724,  7.638,    43
18.485, -1.946, saddle, 2D,  1.788,  2.643,  7.638,    43
18.615, -1.948,   none, 2D,  1.721,  2.568,  7.720,    43
18.728, -1.976,   none, 2D,  1.643,  2.487,  7.720,    43
18.807, -2.001,   none, 2D,  1.564,  2.487,  7.720,    43
18.920, -2.019,   none, 2D,  1.485,  2.406,  7.720,    43
21.820, -1.958, Li_i11, 2D,  5.573,  4.846,  7.720,   263
21.898, -1.947,   none, 2D,  5.495,  4.846,  7.720,   263
22.011, -1.928,   none, 2D,  5.416,  4.927,  7.720,   263
22.090, -1.903,   none, 2D,  5.338,  4.927,  7.720,   263
22.203, -1.880, saddle, 2D,  5.259,  5.009,  7.720,   263
22.346, -1.890,   none, 2D,  5.169,  5.084,  7.638,   263
22.459, -1.909,   none, 2D,  5.091,  5.165,  7.638,   263
22.602, -1.954,   none, 2D,  5.001,  5.240,  7.556,   263
22.715, -2.016,   none, 2D,  4.923,  5.321,  7.556,   263
22.858, -2.091,   none, 2D,  4.833,  5.396,  7.473,   263
22.971, -2.171,   none, 2D,  4.754,  5.477,  7.473,   263
23.114, -2.248,   none, 2D,  4.664,  5.552,  7.391,   263
23.227, -2.316,   none, 2D,  4.586,  5.633,  7.391,   263
23.339, -2.361,   none, 2D,  4.507,  5.715,  7.391,   263
23.418, -2.393,   none, 2D,  4.429,  5.715,  7.391,   263
23.497, -2.414,   none, 2D,  4.350,  5.715,  7.391,   263
23.575, -2.426,   none, 2D,  4.272,  5.715,  7.391,   263
23.654, -2.427,    Li6, 2D,  4.193,  5.715,  7.391,   137
23.732, -2.419,   none, 2D,  4.115,  5.715,  7.391,   137
23.811, -2.401,   none, 2D,  4.036,  5.715,  7.391,   137
23.889, -2.373,   none, 2D,  3.958,  5.715,  7.391,   137
23.968, -2.333,   none, 2D,  3.879,  5.715,  7.391,   137
24.081, -2.278,   none, 2D,  3.800,  5.633,  7.391,   137
24.211, -2.212,   none, 2D,  3.733,  5.559,  7.473,   137
24.324, -2.141,   none, 2D,  3.655,  5.477,  7.473,   137
24.454, -2.064,   none, 2D,  3.588,  5.402,  7.556,   137
24.567, -2.004,   none, 2D,  3.509,  5.321,  7.556,   137
24.680, -1.936,   none, 2D,  3.430,  5.240,  7.556,   137
24.810, -1.907,   none, 2D,  3.363,  5.165,  7.638,   137
24.888, -1.890,   none, 2D,  3.285,  5.165,  7.638,   137
25.001, -1.878, saddle, 2D,  3.206,  5.084,  7.638,   137
25.131, -1.898,   none, 2D,  3.139,  5.009,  7.720,   137
25.244, -1.925,   none, 2D,  3.060,  4.927,  7.720,   137
25.323, -1.952,   none, 2D,  2.982,  4.927,  7.720,   137
25.436, -1.968,   none, 2D,  2.903,  4.846,  7.720,   137
30.319, -1.986, Li_i13, 2D,  2.754,  9.727,  7.720,   144
30.398, -1.984,   none, 2D,  2.833,  9.727,  7.720,   144
30.476, -1.969,   none, 2D,  2.911,  9.727,  7.720,   144
30.589, -1.945,   none, 2D,  2.990,  9.808,  7.720,   144
30.668, -1.911,   none, 2D,  3.068,  9.808,  7.720,   144
30.781, -1.878,   none, 2D,  3.147,  9.890,  7.720,   144
30.911, -1.876, saddle, 2D,  3.214,  9.964,  7.638,   144
31.024, -1.878,   none, 2D,  3.293, 10.046,  7.638,   144
31.154, -1.889,   none, 2D,  3.360, 10.120,  7.556,   144
31.267, -1.938,   none, 2D,  3.439, 10.202,  7.556,   144
31.345, -1.985,   none, 2D,  3.517, 10.202,  7.556,   144
31.475, -2.047,   none, 2D,  3.584, 10.277,  7.473,   144
31.588, -2.127,   none, 2D,  3.647,  0.596,  7.473,   144
31.718, -2.194,   none, 2D,  3.714,  0.671,  7.391,   144
31.831, -2.269,   none, 2D,  3.792,  0.752,  7.391,   144
31.944, -2.321,   none, 2D,  3.871,  0.834,  7.391,   144
32.023, -2.359,   none, 2D,  3.950,  0.834,  7.391,   144
