r_coor, energy,   site, dn,      x,      y,      z, index
14.997, -2.002, Li_i20, 1D,  7.158,  1.459, 14.539,   630
15.078, -1.995,   none, 1D,  7.158,  1.540, 14.539,   630
15.234, -1.983,   none, 1D,  7.251,  1.621, 14.443,   630
15.315, -1.969,   none, 1D,  7.251,  1.702, 14.443,   630
15.435, -1.944,   none, 1D,  7.339,  1.783, 14.443,   630
15.516, -1.916,   none, 1D,  7.339,  1.864, 14.443,   630
15.671, -1.891,   none, 1D,  7.431,  1.946, 14.348,   630
15.753, -1.867,   none, 1D,  7.431,  2.027, 14.348,   630
15.908, -1.846,   none, 1D,  7.524,  2.108, 14.252,   630
16.028, -1.836, saddle, 1D,  7.612,  2.189, 14.252,   630
16.109, -1.841,   none, 1D,  7.612,  2.270, 14.252,   630
16.265, -1.861,   none, 1D,  7.704,  2.351, 14.156,   630
16.346, -1.892,   none, 1D,  7.704,  2.432, 14.156,   630
16.502, -1.934,   none, 1D,  7.797,  2.513, 14.061,   630
16.621, -1.985,   none, 1D,  7.885,  2.594, 14.061,   630
16.702, -2.039,   none, 1D,  7.885,  2.675, 14.061,   630
16.858, -2.082,   none, 1D,  7.978,  2.756, 13.965,   630
16.939, -2.120,   none, 1D,  7.978,  2.837, 13.965,   630
17.020, -2.133,    Li8, 1D,  7.978,  2.918, 13.965,   639
17.102, -2.120,   none, 1D,  7.978,  2.999, 13.965,   639
17.183, -2.082,   none, 1D,  7.978,  3.080, 13.965,   639
17.339, -2.039,   none, 1D,  7.885,  3.161, 14.061,   639
17.420, -1.985,   none, 1D,  7.885,  3.243, 14.061,   639
17.539, -1.934,   none, 1D,  7.797,  3.324, 14.061,   639
17.695, -1.892,   none, 1D,  7.704,  3.405, 14.156,   639
17.776, -1.861,   none, 1D,  7.704,  3.486, 14.156,   639
17.932, -1.841,   none, 1D,  7.612,  3.567, 14.252,   639
18.013, -1.836, saddle, 1D,  7.612,  3.648, 14.252,   639
18.132, -1.846,   none, 1D,  7.524,  3.729, 14.252,   639
18.288, -1.867,   none, 1D,  7.431,  3.810, 14.348,   639
18.369, -1.891,   none, 1D,  7.431,  3.891, 14.348,   639
18.525, -1.916,   none, 1D,  7.339,  3.972, 14.443,   639
18.606, -1.944,   none, 1D,  7.339,  4.053, 14.443,   639
18.726, -1.969,   none, 1D,  7.251,  4.134, 14.443,   639
18.807, -1.983,   none, 1D,  7.251,  4.215, 14.443,   639
18.963, -1.995,   none, 1D,  7.158,  4.296, 14.539,   639
19.044, -2.002, Li_i20, 1D,  7.158,  4.377, 14.539,   577
19.125, -1.996,   none, 1D,  7.158,  4.458, 14.539,   577
19.245, -1.981,   none, 1D,  7.070,  4.540, 14.539,   577
19.370, -1.969,   none, 1D,  7.066,  4.621, 14.635,   577
19.489, -1.945,   none, 1D,  6.978,  4.702, 14.635,   577
19.571, -1.918,   none, 1D,  6.978,  4.783, 14.635,   577
19.726, -1.891,   none, 1D,  6.885,  4.864, 14.730,   577
19.808, -1.869,   none, 1D,  6.885,  4.945, 14.730,   577
19.963, -1.844,   none, 1D,  6.792,  5.026, 14.826,   577
20.044, -1.838, saddle, 1D,  6.792,  5.107, 14.826,   577
20.164, -1.845,   none, 1D,  6.705,  5.188, 14.826,   577
20.320, -1.860,   none, 1D,  6.612,  5.269, 14.922,   577
20.401, -1.895,   none, 1D,  6.612,  5.350, 14.922,   577
20.520, -1.933,   none, 1D,  6.524,  5.431, 14.922,   577
20.676, -1.985,   none, 1D,  6.432,  5.512, 15.017,   577
20.757, -2.042,   none, 1D,  6.432,  5.593, 15.017,   577
20.877, -2.081,   none, 1D,  6.344,  5.674, 15.017,   577
21.002, -2.120,   none, 1D,  6.339,  5.755, 15.113,   577
21.083, -2.133,    Li7, 1D,  6.339,  0.000, 15.113,   574
21.164, -2.120,   none, 1D,  6.339,  0.081, 15.113,   574
21.290, -2.081,   none, 1D,  6.344,  0.162, 15.017,   574
21.409, -2.042,   none, 1D,  6.432,  0.243, 15.017,   574
21.491, -1.985,   none, 1D,  6.432,  0.324, 15.017,   574
21.646, -1.933,   none, 1D,  6.524,  0.405, 14.922,   574
21.766, -1.895,   none, 1D,  6.612,  0.486, 14.922,   574
21.847, -1.860,   none, 1D,  6.612,  0.567, 14.922,   574
22.003, -1.845,   none, 1D,  6.705,  0.649, 14.826,   574
22.122, -1.838, saddle, 1D,  6.792,  0.730, 14.826,   574
22.203, -1.844,   none, 1D,  6.792,  0.811, 14.826,   574
22.359, -1.869,   none, 1D,  6.885,  0.892, 14.730,   574
22.440, -1.891,   none, 1D,  6.885,  0.973, 14.730,   574
22.596, -1.918,   none, 1D,  6.978,  1.054, 14.635,   574
22.677, -1.945,   none, 1D,  6.978,  1.135, 14.635,   574
22.797, -1.969,   none, 1D,  7.066,  1.216, 14.635,   574
22.922, -1.981,   none, 1D,  7.070,  1.297, 14.539,   574
23.042, -1.996,   none, 1D,  7.158,  1.378, 14.539,   574
38.531, -1.784, Li_i16, 2D,  2.633,  4.377,  0.000,   232
38.687, -1.780,   none, 2D,  0.499,  4.458, 43.522,   232
38.806, -1.776,   none, 2D,  0.587,  4.540, 43.522,   232
38.887, -1.766,   none, 2D,  0.587,  4.621, 43.522,   232
39.043, -1.760,   none, 2D,  0.680,  4.702, 43.426,   232
39.163, -1.745,   none, 2D,  0.768,  4.783, 43.426,   232
39.319, -1.739,   none, 2D,  0.860,  4.864, 43.330,   232
39.400, -1.735, saddle, 2D,  0.860,  4.945, 43.330,   232
39.556, -1.737,   none, 2D,  0.953,  5.026, 43.235,   232
39.675, -1.746,   none, 2D,  1.041,  5.107, 43.235,   232
39.756, -1.765,   none, 2D,  1.041,  5.188, 43.235,   232
39.912, -1.804,   none, 2D,  1.133,  5.269, 43.139,   232
39.993, -1.843,   none, 2D,  1.133,  5.350, 43.139,   232
40.149, -1.897,   none, 2D,  1.226,  5.431, 43.043,   232
40.268, -1.956,   none, 2D,  1.314,  5.512, 43.043,   232
40.349, -2.013,   none, 2D,  1.314,  5.593, 43.043,   232
40.505, -2.061,   none, 2D,  1.407,  5.674, 42.948,   232
40.586, -2.100,   none, 2D,  1.407,  5.755, 42.948,   232
40.668, -2.113,   Li12, 2D,  1.407,  0.000, 42.948,   231
40.749, -2.100,   none, 2D,  1.407,  0.081, 42.948,   231
40.830, -2.061,   none, 2D,  1.407,  0.162, 42.948,   231
40.986, -2.013,   none, 2D,  1.314,  0.243, 43.043,   231
41.067, -1.956,   none, 2D,  1.314,  0.324, 43.043,   231
41.186, -1.897,   none, 2D,  1.226,  0.405, 43.043,   231
41.342, -1.843,   none, 2D,  1.133,  0.486, 43.139,   231
41.423, -1.804,   none, 2D,  1.133,  0.567, 43.139,   231
41.579, -1.765,   none, 2D,  1.041,  0.649, 43.235,   231
41.660, -1.746,   none, 2D,  1.041,  0.730, 43.235,   231
41.780, -1.737,   none, 2D,  0.953,  0.811, 43.235,   231
41.935, -1.735, saddle, 2D,  0.860,  0.892, 43.330,   231
42.017, -1.739,   none, 2D,  0.860,  0.973, 43.330,   231
42.172, -1.745,   none, 2D,  0.768,  1.054, 43.426,   231
42.292, -1.760,   none, 2D,  0.680,  1.135, 43.426,   231
42.448, -1.766,   none, 2D,  0.587,  1.216, 43.522,   231
42.529, -1.776,   none, 2D,  0.587,  1.297, 43.522,   231
42.648, -1.780,   none, 2D,  0.499,  1.378, 43.522,   231
42.804, -1.784, Li_i16, 2D,  2.633,  1.459,  0.000,   153
42.960, -1.779,   none, 2D,  2.541,  1.540,  0.096,   153
43.080, -1.776,   none, 2D,  2.453,  1.621,  0.096,   153
43.161, -1.766,   none, 2D,  2.453,  1.702,  0.096,   153
43.317, -1.759,   none, 2D,  2.360,  1.783,  0.191,   153
43.436, -1.745,   none, 2D,  2.273,  1.864,  0.191,   153
43.592, -1.737,   none, 2D,  2.180,  1.946,  0.287,   153
43.673, -1.734, saddle, 2D,  2.180,  2.027,  0.287,   153
43.829, -1.734,   none, 2D,  2.087,  2.108,  0.383,   153
43.948, -1.744,   none, 2D,  1.999,  2.189,  0.383,   153
44.030, -1.763,   none, 2D,  1.999,  2.270,  0.383,   153
44.185, -1.801,   none, 2D,  1.907,  2.351,  0.478,   153
44.267, -1.841,   none, 2D,  1.907,  2.432,  0.478,   153
44.422, -1.894,   none, 2D,  1.814,  2.513,  0.574,   153
44.542, -1.954,   none, 2D,  1.726,  2.594,  0.574,   153
44.623, -2.012,   none, 2D,  1.726,  2.675,  0.574,   153
44.779, -2.059,   none, 2D,  1.634,  2.756,  0.670,   153
44.860, -2.098,   none, 2D,  1.634,  2.837,  0.670,   153
44.941, -2.111,    Li5, 2D,  1.634,  2.918,  0.670,   164
45.022, -2.098,   none, 2D,  1.634,  2.999,  0.670,   164
45.103, -2.059,   none, 2D,  1.634,  3.080,  0.670,   164
45.259, -2.012,   none, 2D,  1.726,  3.161,  0.574,   164
45.340, -1.954,   none, 2D,  1.726,  3.243,  0.574,   164
